epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5297.23,0.77508,0.75107,1.24274,0.86011,0.74665,0.87073,0.61037,1.03946,0.81251,1.43754,0.000984864,0.000984864,0.000984864
64,5376.11,0.77054,0.74744,1.22716,0.79813,0.77104,0.86622,0.60769,0.96928,0.74083,1.38478,0.000973861,0.000973861,0.000973861
65,5456.32,0.78516,0.72712,1.24063,0.757,0.77302,0.85626,0.61377,0.9987,0.80736,1.40276,0.000962859,0.000962859,0.000962859
66,5536.14,0.78384,0.73602,1.25068,0.7913,0.73633,0.83238,0.62006,0.94027,0.88437,1.31033,0.000951857,0.000951857,0.000951857
67,5620.12,0.76765,0.71181,1.22827,0.87732,0.80868,0.88986,0.63268,0.95745,0.7761,1.34514,0.000940855,0.000940855,0.000940855
68,5710.8,0.76116,0.71824,1.23239,0.80202,0.87288,0.89574,0.66503,1.0116,0.73532,1.40158,0.000929853,0.000929853,0.000929853
69,5789.58,0.75289,0.68699,1.21937,0.83236,0.78598,0.88253,0.64613,0.96312,0.72566,1.35262,0.00091885,0.00091885,0.00091885
70,5871.29,0.74882,0.69842,1.21793,0.79346,0.7823,0.85763,0.625,0.99108,0.81696,1.3926,0.000907848,0.000907848,0.000907848
71,5949.37,0.74644,0.69488,1.22055,0.80837,0.80474,0.87784,0.61597,1.00429,0.75646,1.39169,0.000896846,0.000896846,0.000896846
72,6032.72,0.73654,0.68181,1.20647,0.75564,0.75761,0.81094,0.5687,1.0429,0.9297,1.4275,0.000885844,0.000885844,0.000885844
73,6112.57,0.75696,0.70948,1.2192,0.80385,0.78525,0.86553,0.61114,0.96756,0.80298,1.37729,0.000874842,0.000874842,0.000874842
74,6193.1,0.72087,0.65727,1.20019,0.71668,0.81818,0.84672,0.61118,0.95428,0.84472,1.33688,0.000863839,0.000863839,0.000863839
